Open,High,Low,Close,Volume,Dividends,Stock Splits,time,time_str,loc_index,unix_time,Mid
65895.84375,66018.640625,65895.84375,66004.53125,0,0.0,0.0,2024-07-24 01:20:00+00:00,01-20,16,1721784000.0,65957.2421875
65995.0234375,66031.453125,65995.0234375,66031.453125,13836288,0.0,0.0,2024-07-24 01:25:00+00:00,01-25,17,1721784300.0,66013.23828125
66010.78125,66071.4296875,66010.78125,66021.203125,0,0.0,0.0,2024-07-24 01:30:00+00:00,01-30,18,1721784600.0,66041.10546875
66004.3125,66004.3125,65963.3515625,65973.40625,3923968,0.0,0.0,2024-07-24 01:35:00+00:00,01-35,19,1721784900.0,65983.83203125
65953.96875,65953.96875,65812.1015625,65823.5234375,0,0.0,0.0,2024-07-24 01:40:00+00:00,01-40,20,1721785200.0,65883.03515625
65830.34375,65830.34375,65647.4765625,65647.4765625,0,0.0,0.0,2024-07-24 01:45:00+00:00,01-45,21,1721785500.0,65738.91015625
65650.0390625,65699.7421875,65650.0390625,65697.15625,100519936,0.0,0.0,2024-07-24 01:50:00+00:00,01-50,22,1721785800.0,65674.890625
65703.0390625,65704.3984375,65682.578125,65688.4140625,8531968,0.0,0.0,2024-07-24 01:55:00+00:00,01-55,23,1721786100.0,65693.48828125
65674.1484375,65677.9609375,65582.4296875,65582.4296875,0,0.0,0.0,2024-07-24 02:00:00+00:00,02-00,24,1721786400.0,65630.1953125
65551.7265625,65617.8828125,65551.7265625,65584.1484375,1654784,0.0,0.0,2024-07-24 02:05:00+00:00,02-05,25,1721786700.0,65584.8046875
65598.0625,65598.0625,65572.0390625,65572.0390625,0,0.0,0.0,2024-07-24 02:10:00+00:00,02-10,26,1721787000.0,65585.05078125
65560.9140625,65561.546875,65515.10546875,65515.10546875,0,0.0,0.0,2024-07-24 02:15:00+00:00,02-15,27,1721787300.0,65538.326171875
65549.4609375,65549.4609375,65495.21875,65498.08203125,4571136,0.0,0.0,2024-07-24 02:20:00+00:00,02-20,28,1721787600.0,65522.33984375
65497.16015625,65512.0078125,65486.36328125,65512.0078125,0,0.0,0.0,2024-07-24 02:25:00+00:00,02-25,29,1721787900.0,65499.185546875
65585.21875,65636.1640625,65585.21875,65636.1640625,22622208,0.0,0.0,2024-07-24 02:30:00+00:00,02-30,30,1721788200.0,65610.69140625
65702.0234375,65706.0625,65654.3046875,65654.3046875,0,0.0,0.0,2024-07-24 02:35:00+00:00,02-35,31,1721788500.0,65680.18359375
65679.890625,65718.3828125,65673.953125,65717.5859375,0,0.0,0.0,2024-07-24 02:40:00+00:00,02-40,32,1721788800.0,65696.16796875
65721.625,65721.625,65674.03125,65683.0,0,0.0,0.0,2024-07-24 02:45:00+00:00,02-45,33,1721789100.0,65697.828125
65677.1640625,65758.3828125,65677.1640625,65758.3828125,0,0.0,0.0,2024-07-24 02:50:00+00:00,02-50,34,1721789400.0,65717.7734375
